Castelbelforte comune,Castelbelforte comune.1
,
Castelbelforte – VedutaCastelbelforte nel 1910.,Castelbelforte – VedutaCastelbelforte nel 1910.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Massimiliano Gazzani (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°13′N 10°53′E
Altitudine,27 m s.l.m.
Superficie,"22,34 km²"
Abitanti,3 376[1] (30-11-2025)
Densità,"151,12 ab./km²"
Comuni confinanti,"Erbè (VR), Roverbella, San Giorgio Bigarello, Sorgà (VR), Trevenzuolo (VR)"
Altre informazioni,Altre informazioni
Cod. postale,46032
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020013
Cod. catastale,C059
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 388 GG[3]"
Nome abitanti,castelbelfortesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Castelbelforte,Castelbelforte
Castelbelforte – MappaPosizione del comune di Castelbelforte nella provincia di Mantova,Castelbelforte – MappaPosizione del comune di Castelbelforte nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
