Pomponesco comune,Pomponesco comune.1
,
Pomponesco – VedutaVeduta,Pomponesco – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Giuseppe Baruffaldi (lista civica Pomponesco unito) dal 13-6-2022
Territorio,Territorio
Coordinate,44°55′47″N 10°35′50″E
Altitudine,23 m s.l.m.
Superficie,"12,56 km²"
Abitanti,1 751[1] (30-11-2025)
Densità,"139,41 ab./km²"
Frazioni,"Banzuolo, Inghella, Salina"
Comuni confinanti,"Boretto (RE), Dosolo, Gualtieri (RE), Viadana"
Altre informazioni,Altre informazioni
Cod. postale,46030
Prefisso,0375
Fuso orario,UTC+1
Codice ISTAT,020043
Cod. catastale,G816
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 435 GG[3]"
Nome abitanti,pomponescani
Patrono,santa Felicita e i 7 martiri
Giorno festivo,seconda domenica di luglio
Cartografia,Cartografia
Pomponesco,Pomponesco
Pomponesco – MappaPosizione del comune di Pomponesco nella provincia di Mantova,Pomponesco – MappaPosizione del comune di Pomponesco nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
