Castel Goffredo comune,Castel Goffredo comune.1
(dettagli),(dettagli)
Castel Goffredo – Veduta,Castel Goffredo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Alfredo Posenato[1] (Lista civica Progetto Civico) dal 15-5-2023
Territorio,Territorio
Coordinate,45°17′53″N 10°28′30″E
Altitudine,53 m s.l.m.
Superficie,"42,4 km²"
Abitanti,12 736[2] (30-11-2025)
Densità,"300,38 ab./km²"
Frazioni,"Berenzi, Bocchere, Casalpoglio, Coletta, Gambina, Giliani, Lisnetta, Lodolo, Lotelli, Molino Nuovo, Perosso, Poiano, Profondi, Romanini, Sant'Anna, Selvole, Valzi, Villa, Zecchini[3]"
Comuni confinanti,"Asola, Acquafredda (BS), Carpenedolo (BS), Casalmoro, Casaloldo, Castiglione delle Stiviere, Ceresara, Medole"
Altre informazioni,Altre informazioni
Cod. postale,46042
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020015
Cod. catastale,C118
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 428 GG[5]"
Nome abitanti,castellani[6] o goffredesi[7]
Patrono,"sant'Erasmo,[8] san Luca[9][N 1]"
Giorno festivo,"2 giugno, 18 ottobre"
Cartografia,Cartografia
Castel Goffredo,Castel Goffredo
Castel Goffredo – MappaPosizione del comune di Castel Goffredo nella provincia di Mantova,Castel Goffredo – MappaPosizione del comune di Castel Goffredo nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
