Medole comune,Medole comune.1
,
Medole – VedutaChiesa parrocchiale dell'Assunzione della Vergine,Medole – VedutaChiesa parrocchiale dell'Assunzione della Vergine
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Luca Vivaldini (centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,45°20′N 10°31′E
Altitudine,75 m s.l.m.
Superficie,"25,73 km²"
Abitanti,4 246[1] (30-11-2025)
Densità,"165,02 ab./km²"
Frazioni,"Località: Annunciata, Colla, Crocevia, Cà Morino, Gelmotti, San Damaso, Soldana, Vanni[2]"
Comuni confinanti,"Castel Goffredo, Castiglione delle Stiviere, Cavriana, Ceresara, Guidizzolo, Solferino"
Altre informazioni,Altre informazioni
Cod. postale,46046
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020034
Cod. catastale,F086
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 428 GG[4]"
Nome abitanti,medolesi
Patrono,Maria SS. Assunta[5]
Giorno festivo,15 agosto
Cartografia,Cartografia
Medole,Medole
Medole – MappaPosizione del comune di Medole nella provincia di Mantova,Medole – MappaPosizione del comune di Medole nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
