Provincia di Mantova provincia,Provincia di Mantova provincia.1
,
"Provincia di Mantova – VedutaPalazzo della Cervetta, sede della Provincia.","Provincia di Mantova – VedutaPalazzo della Cervetta, sede della Provincia."
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Amministrazione,Amministrazione
Capoluogo,Mantova
Presidente,Carlo Bottani (lista civica di centro-destra) dal 18-12-2021[1][2]
Data di istituzione,1786
Territorio,Territorio
Coordinate del capoluogo,45°10′N 10°48′E
Superficie,"2 341,44 km²"
Abitanti,408 657[3] (31-10-2025)
Densità,"174,53 ab./km²"
Comuni,64 comuni
Province confinanti,"Verona, Brescia, Modena, Reggio Emilia, Parma, Ferrara, Rovigo, Cremona"
Altre informazioni,Altre informazioni
Cod. postale,"46100, 46010-46049"
Prefisso,"0376, 0386, 0375"
Fuso orario,UTC+1
ISO 3166-2,IT-MN
Codice ISTAT,020
Targa,MN
Cartografia,Cartografia
Provincia di Mantova – Localizzazione,Provincia di Mantova – Localizzazione
Provincia di Mantova – MappaPosizione della provincia di Mantova all'interno della Lombardia,Provincia di Mantova – MappaPosizione della provincia di Mantova all'interno della Lombardia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
