Rodigo comune,Rodigo comune.1
,
Rodigo – Veduta,Rodigo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Gianni Grassi (lista civica Per la gente[1]) dal 15-5-2023
Territorio,Territorio
Coordinate,45°12′N 10°38′E
Altitudine,31 m s.l.m.
Superficie,"41,61 km²"
Abitanti,5 175[2] (30-11-2025)
Densità,"124,37 ab./km²"
Frazioni,"Fossato, Rivalta sul Mincio[3]"
Comuni confinanti,"Castellucchio, Ceresara, Curtatone, Gazoldo degli Ippoliti, Goito, Piubega, Porto Mantovano"
Altre informazioni,Altre informazioni
Cod. postale,46040
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020051
Cod. catastale,H481
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 388 GG[5]"
Nome abitanti,rodighesi
Patrono,san Bernardino da Siena
Giorno festivo,20 maggio
Cartografia,Cartografia
Rodigo,Rodigo
Rodigo – MappaPosizione del comune di Rodigo nella provincia di Mantova,Rodigo – MappaPosizione del comune di Rodigo nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
