Ostiglia comune,Ostiglia comune.1
,
Ostiglia – VedutaVeduta,Ostiglia – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Luciano Barberio (centro-destra) dal 9-6-2024
Territorio,Territorio
Coordinate,45°04′13.4″N 11°08′11.08″E
Altitudine,13 m s.l.m.
Superficie,"39,84 km²"
Abitanti,6 851[1] (30-11-2025)
Densità,"171,96 ab./km²"
Frazioni,"Frazione: Correggioli Borgate: Comuna Bellis, Comuna Santuario, Calandre Case sparse: Agnella, Bastione San Michele, Core, Ponte Molino[2]"
Comuni confinanti,"Borgocarbonara, Borgo Mantovano, Casaleone (VR), Cerea (VR), Gazzo Veronese (VR), Melara (RO), Serravalle a Po"
Altre informazioni,Altre informazioni
Cod. postale,46035
Prefisso,0386
Fuso orario,UTC+1
Codice ISTAT,020038
Cod. catastale,G186
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 355 GG[4]"
Nome abitanti,ostigliesi
Patrono,san Lorenzo; sant'Antonio Abate
Giorno festivo,10 agosto; 17 gennaio
Cartografia,Cartografia
Ostiglia,Ostiglia
Ostiglia – MappaPosizione del comune di Ostiglia nella provincia di Mantova,Ostiglia – MappaPosizione del comune di Ostiglia nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
