Pegognaga comune,Pegognaga comune.1
,
Pegognaga – VedutaPieve Matildica intitolata a San Lorenzo,Pegognaga – VedutaPieve Matildica intitolata a San Lorenzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Matteo Zilocchi (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°00′N 10°51′E
Altitudine,22 m s.l.m.
Superficie,"46,57 km²"
Abitanti,6 967[1] (30-11-2025)
Densità,"149,6 ab./km²"
Frazioni,"Galvagnina, Polesine, Sacca[2]"
Comuni confinanti,"Gonzaga, Moglia, Motteggiana, San Benedetto Po, Suzzara"
Altre informazioni,Altre informazioni
Cod. postale,46020
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020039
Cod. catastale,G417
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 411 GG[4]"
Nome abitanti,pegognaghesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Pegognaga,Pegognaga
Pegognaga – MappaPosizione del comune di Pegognaga nella provincia di Mantova,Pegognaga – MappaPosizione del comune di Pegognaga nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
