Solferino comune,Solferino comune.1
,
Solferino – VedutaVeduta del paese di Solferino e della chiesa di San Pietro in Vincoli,Solferino – VedutaVeduta del paese di Solferino e della chiesa di San Pietro in Vincoli
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Germano Bignotti (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°22′20.5″N 10°33′59.33″E
Altitudine,124 m s.l.m.
Superficie,"13,08[1] km²"
Abitanti,2 626[2] (30-11-2025)
Densità,"200,76 ab./km²"
Frazioni,"Barche, Cunettone, Pozzo Catena, Ridello al Monte, Santoline, Saresine[3]"
Comuni confinanti,"Castiglione delle Stiviere, Cavriana, Guidizzolo, Lonato del Garda (BS), Medole"
Altre informazioni,Altre informazioni
Cod. postale,46040
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020063
Cod. catastale,I801
Targa,MN
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 442 GG[5]"
Nome abitanti,solferinesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Solferino,Solferino
Solferino – MappaPosizione del comune di Solferino nella provincia di Mantova,Solferino – MappaPosizione del comune di Solferino nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
