Sermide e Felonica comune,Sermide e Felonica comune.1
,
Sermide e Felonica – VedutaMunicipio,Sermide e Felonica – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Capoluogo,Sermide
Sindaco,Edoardo Maestri (lista civica Sermide e Felonica Futura) dal 10-06-2024
Territorio,Territorio
Coordinate del capoluogo,44°59′21.11″N 11°19′06.43″E
Superficie,"79,83 km²"
Abitanti,7 039[1] (30-11-2025)
Densità,"88,17 ab./km²"
Frazioni,"Caposotto, Felonica, Malcantone, Moglia, Porcara, Quatrelle, S. Croce,Sermide"
Comuni confinanti,"Bondeno (FE), Calto (RO), Borgocarbonara, Castelmassa (RO), Castelnovo Bariano (RO), Ficarolo (RO), Magnacavallo, Mirandola (MO), Poggio Rusco, Salara (RO)"
Altre informazioni,Altre informazioni
Cod. postale,46028
Prefisso,0386
Fuso orario,UTC+1
Codice ISTAT,020061
Cod. catastale,I632
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cartografia,Cartografia
Sermide,Sermide
Sermide e Felonica – MappaPosizione del comune di Sermide e Felonica nella provincia di Mantova,Sermide e Felonica – MappaPosizione del comune di Sermide e Felonica nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
