Borgo Virgilio comune,Borgo Virgilio comune.1
,
Borgo Virgilio – VedutaChiesa parrocchiale di Borgoforte,Borgo Virgilio – VedutaChiesa parrocchiale di Borgoforte
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Francesco Aporti (Insieme per Borgo Virgilio[1]) dal 27-5-2019
Data di istituzione,4 febbraio 2014
Territorio,Territorio
Coordinate,45°03′N 10°45′E
Altitudine,21 m s.l.m.
Superficie,"69,99[2] km²"
Abitanti,15 070[3] (30-11-2025)
Densità,"215,32 ab./km²"
Frazioni,"Boccadiganda, Borgoforte, Cappelletta, Cerese (sede comunale), Pietole, Romanore, San Cataldo, San Nicolò Po, Scorzarolo, Vignale[4][5]"
Comuni confinanti,"Bagnolo San Vito, Curtatone, Mantova, Marcaria, Motteggiana, San Benedetto Po, Viadana"
Altre informazioni,Altre informazioni
Cod. postale,46034
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020071
Cod. catastale,M340
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[6]
Nome abitanti,borgovirgiliani
Cartografia,Cartografia
Borgo Virgilio,Borgo Virgilio
Borgo Virgilio – MappaPosizione del comune di Borgo Virgilio nella provincia di Mantova,Borgo Virgilio – MappaPosizione del comune di Borgo Virgilio nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
