Serravalle a Po comune,Serravalle a Po comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Tiberio Capucci (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°04′20″N 11°05′59″E
Altitudine,15 m s.l.m.
Superficie,"26,2 km²"
Abitanti,1 485[1] (30-11-2025)
Densità,"56,68 ab./km²"
Frazioni,"Cardinala, Caselle, Libiola, Serravalle a Po, Torriana[2]"
Comuni confinanti,"Gazzo Veronese (VR), Ostiglia, Borgo Mantovano, Quingentole, Sustinente"
Altre informazioni,Altre informazioni
Cod. postale,46030
Prefisso,0386
Fuso orario,UTC+1
Codice ISTAT,020062
Cod. catastale,I662
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 388 GG[4]"
Nome abitanti,serravallesi
Cartografia,Cartografia
Serravalle a Po,Serravalle a Po
Serravalle a Po – MappaPosizione del comune di Serravalle a Po nella provincia di Mantova,Serravalle a Po – MappaPosizione del comune di Serravalle a Po nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
