San Giorgio Bigarello comune,San Giorgio Bigarello comune.1
,
San Giorgio Bigarello – VedutaForesta della Carpaneta,San Giorgio Bigarello – VedutaForesta della Carpaneta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Capoluogo,Mottella
Sindaco,Davide dal Bosco (lista civica di centro-sinistra Costruiamo il futuro insieme) dal 2024
Data di istituzione,1º gennaio 2019
Territorio,Territorio
Coordinate del capoluogo,45°11′05.17″N 10°51′14.39″E
Altitudine,25 m s.l.m.
Superficie,"51,53 km²"
Abitanti,11 934[1] (30-11-2025)
Densità,"231,59 ab./km²"
Frazioni,"Bazza, Bigarello, Caselle, Gazzo, Ghisiolo, Mottella (sede comunale), San Giorgio di Mantova, Stradella, Tripoli, Villanova de Bellis, Villanova Maiardina[2]"
Comuni confinanti,"Castel d'Ario, Castelbelforte, Mantova, Porto Mantovano, Roncoferraro, Roverbella, Sorgà (VR)"
Altre informazioni,Altre informazioni
Cod. postale,46051
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020057
Cod. catastale,H883
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Nome abitanti,sangiorgesi
Patrono,san Giorgio martire
Giorno festivo,23 aprile
Cartografia,Cartografia
Mottella,Mottella
San Giorgio Bigarello – MappaPosizione del comune di San Giorgio Bigarello nella provincia di Mantova,San Giorgio Bigarello – MappaPosizione del comune di San Giorgio Bigarello nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
