Porto Mantovano comune,Porto Mantovano comune.1
,
Porto Mantovano – VedutaVilla La Favorita,Porto Mantovano – VedutaVilla La Favorita
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Maria Paola Salvarani (centro-destra) dal 24-6-2024
Territorio,Territorio
Coordinate,45°11′48″N 10°47′38″E
Altitudine,29 m s.l.m.
Superficie,"37,44 km²"
Abitanti,16 710[1] (30-11-2025)
Densità,"446,31 ab./km²"
Frazioni,"Bancole, Mantovanella, Montata Carra, Sant'Antonio (sede comunale), Soave, Spinosa[2]"
Comuni confinanti,"Curtatone, Goito, Mantova, Marmirolo, Rodigo, Roverbella, San Giorgio Bigarello"
Altre informazioni,Altre informazioni
Cod. postale,46047
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020045
Cod. catastale,G917
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 388 GG[4]"
Nome abitanti,"portomantovanesi, portuensi"
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Porto Mantovano,Porto Mantovano
Porto Mantovano – MappaPosizione del comune di Porto Mantovano nella provincia di Mantova,Porto Mantovano – MappaPosizione del comune di Porto Mantovano nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
