Gazoldo degli Ippoliti comune,Gazoldo degli Ippoliti comune.1
,
Gazoldo degli Ippoliti – Veduta,Gazoldo degli Ippoliti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Claudio Pedrollo (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,45°12′N 10°35′E
Altitudine,35 m s.l.m.
Superficie,"13,03 km²"
Abitanti,3 047[1] (30-11-2025)
Densità,"233,84 ab./km²"
Comuni confinanti,"Castellucchio, Ceresara, Marcaria, Piubega, Redondesco, Rodigo"
Altre informazioni,Altre informazioni
Cod. postale,46040
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020024
Cod. catastale,D949
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 388 GG[3]"
Nome abitanti,gazoldesi
Cartografia,Cartografia
Gazoldo degli Ippoliti,Gazoldo degli Ippoliti
Gazoldo degli Ippoliti – MappaPosizione del comune di Gazoldo degli Ippoliti nella provincia di Mantova,Gazoldo degli Ippoliti – MappaPosizione del comune di Gazoldo degli Ippoliti nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
