Casalromano comune,Casalromano comune.1
,
Casalromano – Veduta,Casalromano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Bonsignore Luca (Lista Civica) dall'8-9 giugno 2024
Territorio,Territorio
Coordinate,45°12′N 10°22′E
Altitudine,42 m s.l.m.
Superficie,"12,03 km²"
Abitanti,1 499[1] (30-11-2025)
Densità,"124,61 ab./km²"
Frazioni,Fontanella Grazioli
Comuni confinanti,"Asola, Canneto sull'Oglio, Fiesse (BS), Isola Dovarese (CR), Volongo (CR)"
Altre informazioni,Altre informazioni
Cod. postale,46040
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020012
Cod. catastale,B911
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 420 GG[3]"
Nome abitanti,casalromanesi
Patrono,san Giovanni Evangelista
Giorno festivo,27 dicembre
Cartografia,Cartografia
Casalromano,Casalromano
Casalromano – MappaPosizione del comune di Casalromano nella provincia di Mantova,Casalromano – MappaPosizione del comune di Casalromano nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
