Castellucchio comune,Castellucchio comune.1
,
Castellucchio – Veduta,Castellucchio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Romano Monicelli (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,45°09′N 10°39′E
Altitudine,26 m s.l.m.
Superficie,"46,34 km²"
Abitanti,5 151[1] (30-11-2025)
Densità,"111,16 ab./km²"
Frazioni,"Gabbiana, Ospitaletto, Sarginesco Località: Cimbriolo, Gafurro, San Lorenzo, Crocette, Pilone, Carrobbio, Borghetto, Missidiane, Dossi Sabbioni[2]"
Comuni confinanti,"Curtatone, Gazoldo degli Ippoliti, Marcaria, Rodigo"
Altre informazioni,Altre informazioni
Cod. postale,46014
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020016
Cod. catastale,C195
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 388 GG[4]"
Nome abitanti,castellucchiesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Castellucchio,Castellucchio
Castellucchio – MappaPosizione del comune di Castellucchio nella provincia di Mantova,Castellucchio – MappaPosizione del comune di Castellucchio nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
