Villimpenta comune,Villimpenta comune.1
,
Villimpenta – VedutaIl castello,Villimpenta – VedutaIl castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Daniele Travenzoli (lista civica Passione comune) dal 13-6-2022
Territorio,Territorio
Coordinate,45°07′59.02″N 11°00′54.43″E
Altitudine,18 m s.l.m.
Superficie,"14,85 km²"
Abitanti,2 159[1] (30-11-2025)
Densità,"145,39 ab./km²"
Frazioni,Pradello[2]
Comuni confinanti,"Castel d'Ario, Gazzo Veronese (VR), Roncoferraro, Sorgà (VR), Sustinente"
Altre informazioni,Altre informazioni
Cod. postale,46039
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020068
Cod. catastale,M044
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 388 GG[4]"
Nome abitanti,villimpentesi
Cartografia,Cartografia
Villimpenta,Villimpenta
Villimpenta – MappaPosizione del comune di Villimpenta nella provincia di Mantova,Villimpenta – MappaPosizione del comune di Villimpenta nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
