Asola comune,Asola comune.1
,
Asola – VedutaPiazza XX Settembre,Asola – VedutaPiazza XX Settembre
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Moreno Romanelli (lista civica Più Asola) dal 10-6-2024
Territorio,Territorio
Coordinate,45°13′N 10°25′E
Altitudine,42 m s.l.m.
Superficie,"73,48 km²"
Abitanti,9 865[1] (30-11-2025)
Densità,"134,25 ab./km²"
Frazioni,"Barchi, Castelnuovo, Gazzuoli, San Pietro, Sorbara, Seriole[2]"
Comuni confinanti,"Acquanegra sul Chiese, Canneto sull'Oglio, Casalmoro, Casaloldo, Casalromano, Castel Goffredo, Fiesse (BS), Gambara (BS), Mariana Mantovana, Piubega, Remedello (BS)"
Altre informazioni,Altre informazioni
Cod. postale,46041
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020002
Cod. catastale,A470
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 420 GG[4]"
Nome abitanti,asolani
Patrono,san Giovanni Crisostomo
Giorno festivo,27 gennaio
Cartografia,Cartografia
Asola,Asola
Asola – MappaPosizione del comune di Asola nella provincia di Mantova,Asola – MappaPosizione del comune di Asola nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
