Borgo Mantovano comune,Borgo Mantovano comune.1
,
Borgo Mantovano – VedutaPalazzo Ducale di Revere,Borgo Mantovano – VedutaPalazzo Ducale di Revere
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Alberto Borsari[1] (lista civica) dal 15-5-2023
Data di istituzione,1º gennaio 2018
Territorio,Territorio
Coordinate,45°03′26.96″N 11°07′31.69″E
Superficie,"41,1693 km²"
Abitanti,5 385[2] (30-11-2025)
Densità,"130,8 ab./km²"
Frazioni,"Pieve di Coriano, Revere (sede comunale), Zello, Villa Poma, Ghisione"
Comuni confinanti,"Borgocarbonara, Magnacavallo, Ostiglia, Poggio Rusco, Quingentole, San Giovanni del Dosso, Schivenoglia, Serravalle a Po"
Altre informazioni,Altre informazioni
Cod. postale,46036
Prefisso,0386
Fuso orario,UTC+1
Codice ISTAT,020072
Cod. catastale,M396
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Patrono,san Giovanni Paolo II
Giorno festivo,22 ottobre
Cartografia,Cartografia
Borgo Mantovano,Borgo Mantovano
Borgo Mantovano – MappaPosizione del comune di Borgo Mantovano nella provincia di Mantova,Borgo Mantovano – MappaPosizione del comune di Borgo Mantovano nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
