Casaloldo comune,Casaloldo comune.1
,
Casaloldo – VedutaChiesa parrocchiale,Casaloldo – VedutaChiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Emma Raschi (lista civica) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°15′N 10°29′E
Altitudine,45 m s.l.m.
Superficie,"16,85 km²"
Abitanti,2 624[2] (30-11-2025)
Densità,"155,73 ab./km²"
Frazioni,"Bellaria, Morini, Molinello, Pistoni, San Vito, Squarzieri, Staffolo, Travagliati[3]"
Comuni confinanti,"Asola, Castel Goffredo, Ceresara, Piubega"
Altre informazioni,Altre informazioni
Cod. postale,46040
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020011
Cod. catastale,B907
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 420 GG[5]"
Nome abitanti,casaloldesi
Patrono,santi Gordiano ed Epimaco
Giorno festivo,10 maggio
Cartografia,Cartografia
Casaloldo,Casaloldo
Casaloldo – MappaPosizione del comune di Casaloldo nella provincia di Mantova,Casaloldo – MappaPosizione del comune di Casaloldo nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
