Goito comune,Goito comune.1
,
Goito – VedutaLa battaglia del ponte di Goito (8 aprile 1848) in una litografia di Stanislao Grimaldi Dal Poggetto (1860 circa).,Goito – VedutaLa battaglia del ponte di Goito (8 aprile 1848) in una litografia di Stanislao Grimaldi Dal Poggetto (1860 circa).
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Pietro Chiaventi (lista civica Immagina) dal 13-6-2022
Territorio,Territorio
Coordinate,45°15′N 10°40′E
Altitudine,33 m s.l.m.
Superficie,"79,22 km²"
Abitanti,10 131[1] (30-11-2025)
Densità,"127,88 ab./km²"
Frazioni,"Calliera, Cerlongo, Maglio, Massimbona, Marsiletti, Sacca, Solarolo, Torre, Vasto[2]"
Comuni confinanti,"Cavriana, Ceresara, Guidizzolo, Marmirolo, Piubega, Porto Mantovano, Rodigo, Volta Mantovana"
Altre informazioni,Altre informazioni
Cod. postale,46044
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020026
Cod. catastale,E078
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 388 GG[4]"
Nome abitanti,goitesi
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Goito,Goito
Goito – MappaPosizione del comune di Goito nella provincia di Mantova,Goito – MappaPosizione del comune di Goito nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
