Motteggiana comune,Motteggiana comune.1
,
"Motteggiana – VedutaCorte Ghirardina, opera di Luca Fancelli (1470)","Motteggiana – VedutaCorte Ghirardina, opera di Luca Fancelli (1470)"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Massimo Bonesi (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,45°02′N 10°46′E
Altitudine,20 m s.l.m.
Superficie,"24,79 km²"
Abitanti,2 398[1] (30-11-2025)
Densità,"96,73 ab./km²"
Frazioni,"Torricella, Villa Saviola e Sailetto[2]"
Comuni confinanti,"Borgo Virgilio, Pegognaga, San Benedetto Po, Suzzara, Viadana"
Altre informazioni,Altre informazioni
Cod. postale,46020
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020037
Cod. catastale,B012
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 388 GG[4]"
Nome abitanti,motteggianesi
Patrono,san Girolamo
Giorno festivo,30 settembre
Cartografia,Cartografia
Motteggiana,Motteggiana
Motteggiana – MappaPosizione del comune di Motteggiana nella provincia di Mantova,Motteggiana – MappaPosizione del comune di Motteggiana nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
