Mariana Mantovana comune,Mariana Mantovana comune.1
,
Mariana Mantovana – Veduta,Mariana Mantovana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Davide Ferrari (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°11′09.02″N 10°29′16.42″E
Altitudine,36 m s.l.m.
Superficie,"8,91 km²"
Abitanti,794[1] (30-11-2025)
Densità,"89,11 ab./km²"
Comuni confinanti,"Acquanegra sul Chiese, Asola, Piubega, Redondesco"
Altre informazioni,Altre informazioni
Cod. postale,46010
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020032
Cod. catastale,E949
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 388 GG[3]"
Nome abitanti,marianesi
Patrono,santa Sabina
Giorno festivo,ultima domenica di agosto
Cartografia,Cartografia
Mariana Mantovana,Mariana Mantovana
Mariana Mantovana – MappaPosizione del comune di Mariana Mantovana nella provincia di Mantova,Mariana Mantovana – MappaPosizione del comune di Mariana Mantovana nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
