Roverbella comune,Roverbella comune.1
,
Roverbella – VedutaMunicipio,Roverbella – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Mattia Cortesi (Officina civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°16′N 10°46′E
Altitudine,47 m s.l.m.
Superficie,"62,99 km²"
Abitanti,8 716[1] (30-11-2025)
Densità,"138,37 ab./km²"
Frazioni,"Belvedere, Canedole, Castiglione Mantovano, Malavicina, Pellaloco Località: Borgo Bassa, Cà Mantovane, Castelletto, Fienili, Foroni, Santa Lucia[2]"
Comuni confinanti,"Castelbelforte, Marmirolo, Mozzecane (VR), Nogarole Rocca (VR), Porto Mantovano, San Giorgio Bigarello, Trevenzuolo (VR), Valeggio sul Mincio (VR)"
Altre informazioni,Altre informazioni
Cod. postale,46048
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020053
Cod. catastale,H604
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 388 GG[4]"
Nome abitanti,roverbellesi
Patrono,san Gregorio Magno
Giorno festivo,3 settembre
Cartografia,Cartografia
Roverbella,Roverbella
Roverbella – MappaPosizione del comune di Roverbella nella provincia di Mantova,Roverbella – MappaPosizione del comune di Roverbella nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
