Quistello comune,Quistello comune.1
,
Quistello – Vedutavia Filippo Corridoni nel 1918 (CPA).,Quistello – Vedutavia Filippo Corridoni nel 1918 (CPA).
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Gloriana Dall'Oglio (lista civica di centro-sinistra) dal 4-10-2021
Territorio,Territorio
Coordinate,45°00′23.68″N 10°58′49.66″E
Altitudine,16 m s.l.m.
Superficie,"45,44 km²"
Abitanti,5 263[1] (30-11-2025)
Densità,"115,82 ab./km²"
Frazioni,"Nuvolato, Santa Lucia, San Rocco Località: Gaidella, Zambone[2]"
Comuni confinanti,"Concordia sulla Secchia (MO), Moglia, Quingentole, San Benedetto Po, San Giacomo delle Segnate, San Giovanni del Dosso, Schivenoglia, Sustinente"
Altre informazioni,Altre informazioni
Cod. postale,46026
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020047
Cod. catastale,H143
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 388 GG[4]"
Nome abitanti,quistellesi
Patrono,san Bartolomeo apostolo
Giorno festivo,24 agosto
Cartografia,Cartografia
Quistello,Quistello
Quistello – MappaPosizione del comune di Quistello nella provincia di Mantova,Quistello – MappaPosizione del comune di Quistello nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
