Casalmoro comune,Casalmoro comune.1
,
Casalmoro – VedutaMadonna del Dosso.,Casalmoro – VedutaMadonna del Dosso.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Maura Tomaselli (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°16′N 10°24′E
Altitudine,47 m s.l.m.
Superficie,"13,7 km²"
Abitanti,2 218[1] (30-11-2025)
Densità,"161,9 ab./km²"
Frazioni,Località Corobiolo
Comuni confinanti,"Acquafredda (BS), Asola, Castel Goffredo, Remedello (BS)"
Altre informazioni,Altre informazioni
Cod. postale,46040
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020010
Cod. catastale,B901
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 420 GG[3]"
Nome abitanti,casalmoresi
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Casalmoro,Casalmoro
Casalmoro – MappaPosizione del comune di Casalmoro nella provincia di Mantova,Casalmoro – MappaPosizione del comune di Casalmoro nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
