Acquanegra sul Chiese comune,Acquanegra sul Chiese comune.1
,
Acquanegra sul Chiese – VedutaChiesa parrocchiale di San Tommaso Apostolo,Acquanegra sul Chiese – VedutaChiesa parrocchiale di San Tommaso Apostolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Monica De Pieri (lista civica La svolta) dal 6-6-2016
Territorio,Territorio
Coordinate,45°10′N 10°26′E
Altitudine,31 m s.l.m.
Superficie,"28,01 km²"
Abitanti,2 727[1] (30-11-2025)
Densità,"97,36 ab./km²"
Frazioni,Mosio
Comuni confinanti,"Asola, Bozzolo, Calvatone (CR), Canneto sull'Oglio, Marcaria, Mariana Mantovana, Redondesco"
Altre informazioni,Altre informazioni
Cod. postale,46011
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020001
Cod. catastale,A038
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 388 GG[3]"
Nome abitanti,acquanegresi
Patrono,san Fortunato
Giorno festivo,terza domenica di ottobre
Cartografia,Cartografia
Acquanegra sul Chiese,Acquanegra sul Chiese
Acquanegra sul Chiese – MappaPosizione del comune di Acquanegra sul Chiese nella provincia di Mantova,Acquanegra sul Chiese – MappaPosizione del comune di Acquanegra sul Chiese nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
