Dosolo comune,Dosolo comune.1
,
Dosolo – Veduta,Dosolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Pietro Bortolotti (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°57′N 10°38′E
Altitudine,25 m s.l.m.
Superficie,"25,54 km²"
Abitanti,3 168[1] (30-11-2025)
Densità,"124,04 ab./km²"
Frazioni,"Correggioverde, Villastrada"
Comuni confinanti,"Gualtieri (RE), Guastalla (RE), Luzzara (RE), Pomponesco, Suzzara, Viadana"
Altre informazioni,Altre informazioni
Cod. postale,46030
Prefisso,0375
Fuso orario,UTC+1
Codice ISTAT,020022
Cod. catastale,D351
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 435 GG[3]"
Nome abitanti,dosolesi
Patrono,"santi Gervasio e Protasio, martiri"
Giorno festivo,19 giugno
Cartografia,Cartografia
Dosolo,Dosolo
Dosolo – MappaPosizione del comune di Dosolo nella provincia di Mantova,Dosolo – MappaPosizione del comune di Dosolo nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
