Castel d'Ario comune,Castel d'Ario comune.1
,
Castel d'Ario – VedutaIl castello,Castel d'Ario – VedutaIl castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Daniela Castro (lista civica) dal 1-6-2015
Territorio,Territorio
Coordinate,45°11′20″N 10°58′32″E
Altitudine,24 m s.l.m.
Superficie,"22,58 km²"
Abitanti,4 666[1] (30-11-2025)
Densità,"206,64 ab./km²"
Frazioni,"Susano, Villa, Villagrossa[2]"
Comuni confinanti,"Roncoferraro, San Giorgio Bigarello, Sorgà (VR), Villimpenta"
Altre informazioni,Altre informazioni
Cod. postale,46033
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020014
Cod. catastale,C076
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 388 GG[4]"
Nome abitanti,casteldariesi
Patrono,Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Castel d'Ario,Castel d'Ario
Castel d'Ario – MappaPosizione del comune di Castel d'Ario nella provincia di Mantova,Castel d'Ario – MappaPosizione del comune di Castel d'Ario nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
