Borgocarbonara comune,Borgocarbonara comune.1
,
Borgocarbonara – VedutaVilla Bisighini a Carbonara di Po,Borgocarbonara – VedutaVilla Bisighini a Carbonara di Po
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Capoluogo,Carbonara di Po
Data di istituzione,1º gennaio 2019
Territorio,Territorio
Coordinate del capoluogo,45°02′17″N 11°13′24.5″E
Altitudine,14 m s.l.m.
Superficie,"30,50 km²"
Abitanti,1 863[1] (30-11-2025)
Densità,"61,08 ab./km²"
Frazioni,"Bonizzo, Borgofranco sul Po, Masi, Carbonarola, Cavo, Vallaźza (stazione ferroviaria)"
Comuni confinanti,"Bergantino (RO), Magnacavallo, Melara (RO), Ostiglia, Borgo Mantovano, Castelnovo Bariano (RO), Sermide e Felonica"
Altre informazioni,Altre informazioni
Cod. postale,46021
Prefisso,0386
Fuso orario,UTC+1
Codice ISTAT,020073
Cod. catastale,M406
Cl. sismica,zona 3 (sismicità bassa)[2]
Nome abitanti,borgocarbonaresi
Cartografia,Cartografia
Carbonara di Po,Carbonara di Po
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
