Gonzaga comune,Gonzaga comune.1
,
Gonzaga – Veduta,Gonzaga – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Elisabetta Galeotti (centro-sinistra) dal 27-5-2019
Territorio,Territorio
Coordinate,44°57′N 10°49′E
Altitudine,22 m s.l.m.
Superficie,"49,89 km²"
Abitanti,8 597[1] (30-11-2025)
Densità,"172,32 ab./km²"
Frazioni,"Bondeno, Palidano"
Comuni confinanti,"Luzzara (RE), Moglia, Pegognaga, Reggiolo (RE), Suzzara"
Altre informazioni,Altre informazioni
Cod. postale,46023
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020027
Cod. catastale,E089
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 435 GG[3]"
Nome abitanti,Gonzaghesi
Patrono,san Benedetto Abate
Giorno festivo,8 settembre in occasione della Natività di Maria
Cartografia,Cartografia
Gonzaga,Gonzaga
Gonzaga – MappaPosizione del comune di Gonzaga nella provincia di Mantova,Gonzaga – MappaPosizione del comune di Gonzaga nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
