Curtatone comune,Curtatone comune.1
,
Curtatone – VedutaSantuario della Beata Vergine Maria delle Grazie,Curtatone – VedutaSantuario della Beata Vergine Maria delle Grazie
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Carlo Bottani (lista civica di centro-destra) dal 1-6-2015 (2º mandato dal 21-9-2020)
Territorio,Territorio
Coordinate,45°09′N 10°43′E
Altitudine,26 m s.l.m.
Superficie,"67,47 km²"
Abitanti,14 683[1] (30-11-2025)
Densità,"217,62 ab./km²"
Frazioni,"Buscoldo, Curtatone, Eremo, Grazie, Levata, Montanara (sede comunale), Ponteventuno, San Lorenzo, San Silvestro[2]"
Comuni confinanti,"Castellucchio, Mantova, Marcaria, Porto Mantovano, Rodigo, Borgo Virgilio"
Altre informazioni,Altre informazioni
Cod. postale,46010
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020021
Cod. catastale,D227
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 388 GG[4]"
Nome abitanti,curtatonesi
Patrono,san Silvestro
Giorno festivo,31 dicembre
Cartografia,Cartografia
Curtatone,Curtatone
Curtatone – MappaPosizione del comune di Curtatone nella provincia di Mantova,Curtatone – MappaPosizione del comune di Curtatone nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
