Commessaggio comune,Commessaggio comune.1
,
Commessaggio – VedutaIl celebre ponte di barche in cemento sul canale Navarolo.,Commessaggio – VedutaIl celebre ponte di barche in cemento sul canale Navarolo.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Alessandro Sarasini (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°02′N 10°33′E
Altitudine,22 m s.l.m.
Superficie,"11,65 km²"
Abitanti,1 029[1] (30-11-2025)
Densità,"88,33 ab./km²"
Frazioni,Bocca Chiavica
Comuni confinanti,"Gazzuolo, Sabbioneta, Spineda (CR), Viadana"
Altre informazioni,Altre informazioni
Cod. postale,46010
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020020
Cod. catastale,C930
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 388 GG[3]"
Nome abitanti,commessaggesi
Patrono,sant'Albino
Giorno festivo,1º marzo
Cartografia,Cartografia
Commessaggio,Commessaggio
Commessaggio – MappaPosizione del comune di Commessaggio nella provincia di Mantova,Commessaggio – MappaPosizione del comune di Commessaggio nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
