Sabbioneta comune,Sabbioneta comune.1
,
Sabbioneta – VedutaPiazza Ducale,Sabbioneta – VedutaPiazza Ducale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Marco Pasquali (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°59′57″N 10°29′23″E
Altitudine,18 m s.l.m.
Superficie,"37,27 km²"
Abitanti,4 072[1] (30-11-2025)
Densità,"109,26 ab./km²"
Frazioni,"Borgofreddo, Breda Cisoni, Ca' de Cessi, Commessaggio Inferiore, Dossi, Mezzana Sant' Antonio, Ponteterra, Vigoreto, Villa Pasquali"
Comuni confinanti,"Casalmaggiore (CR), Spineda (CR), Commessaggio, Rivarolo del Re ed Uniti (CR), Viadana"
Altre informazioni,Altre informazioni
Cod. postale,46018
Prefisso,0375
Fuso orario,UTC+1
Codice ISTAT,020054
Cod. catastale,H652
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 435 GG[3]"
Nome abitanti,sabbionetani
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Sabbioneta,Sabbioneta
Sabbioneta – MappaPosizione del comune di Sabbioneta nella provincia di Mantova,Sabbioneta – MappaPosizione del comune di Sabbioneta nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
