San Benedetto Po comune,San Benedetto Po comune.1
,
San Benedetto Po – Veduta,San Benedetto Po – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Roberto Lasagna (lista civica Uniti per crescere) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°02′N 10°55′E
Altitudine,19 m s.l.m.
Superficie,"69,94 km²"
Abitanti,6 798[1] (30-11-2025)
Densità,"97,2 ab./km²"
Frazioni,"Bardelle, Brede, Gorgo, Mirasole, Portiolo, San Siro, Villa Garibaldi, Zovo[2]"
Comuni confinanti,"Bagnolo San Vito, Borgo Virgilio, Moglia, Motteggiana, Pegognaga, Quistello, Sustinente"
Altre informazioni,Altre informazioni
Cod. postale,46027
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020055
Cod. catastale,H771
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 388 GG[4]"
Nome abitanti,sambenedettini
Patrono,san Benedetto
Cartografia,Cartografia
San Benedetto Po,San Benedetto Po
San Benedetto Po – MappaPosizione del comune di San Benedetto Po nella provincia di Mantova,San Benedetto Po – MappaPosizione del comune di San Benedetto Po nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
