Castiglione delle Stiviere comune,Castiglione delle Stiviere comune.1
,
Castiglione delle Stiviere – VedutaPanorama,Castiglione delle Stiviere – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Enrico Volpi[1] dal 26-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,45°24′N 10°30′E
Altitudine,116 m s.l.m.
Superficie,"42,02 km²"
Abitanti,23 938[2] (30-11-2025)
Densità,"569,68 ab./km²"
Frazioni,"Astore, Gozzolina, Grole, San Vigilio Località: Albana, Barche di Castiglione, Bertasetti, Botteghino, Campidello, Cola, Fenil Beschi, Fezzardi, Pedercini, Prede, Santa Maria, San Viletto, Valle, Valle Scura[3]"
Comuni confinanti,"Carpenedolo (BS), Lonato del Garda (BS), Castel Goffredo, Medole, Montichiari (BS), Solferino"
Altre informazioni,Altre informazioni
Cod. postale,46043
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020017
Cod. catastale,C312
Targa,MN
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 363 GG[5]"
Nome abitanti,castiglionesi
Patrono,san Luigi Gonzaga
Giorno festivo,9 marzo
Cartografia,Cartografia
Castiglione delle Stiviere,Castiglione delle Stiviere
Castiglione delle Stiviere – MappaPosizione del comune di Castiglione delle Stiviere nella provincia di Mantova,Castiglione delle Stiviere – MappaPosizione del comune di Castiglione delle Stiviere nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
