San Martino dall'Argine comune,San Martino dall'Argine comune.1
,
San Martino dall'Argine – VedutaPortici gonzagheschi e chiesa Castello,San Martino dall'Argine – VedutaPortici gonzagheschi e chiesa Castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Alessio Renoldi[1] (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,45°05′47.42″N 10°32′05.68″E
Altitudine,29 m s.l.m.
Superficie,"16,94 km²"
Abitanti,1 603[2] (30-11-2025)
Densità,"94,63 ab./km²"
Comuni confinanti,"Bozzolo, Gazzuolo, Marcaria, Rivarolo Mantovano, Spineda (CR)"
Altre informazioni,Altre informazioni
Cod. postale,46010
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020059
Cod. catastale,I005
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[3]
Nome abitanti,sammartinesi
Cartografia,Cartografia
San Martino dall'Argine,San Martino dall'Argine
San Martino dall'Argine – MappaPosizione del comune di San Martino dall'Argine nella provincia di Mantova,San Martino dall'Argine – MappaPosizione del comune di San Martino dall'Argine nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
