Moglia comune,Moglia comune.1
,
Moglia – VedutaPiazza della Libertà,Moglia – VedutaPiazza della Libertà
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Claudio Bavutti (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,44°56′N 10°55′E
Altitudine,20 m s.l.m.
Superficie,"31,85 km²"
Abitanti,5 390[1] (30-11-2025)
Densità,"169,23 ab./km²"
Frazioni,"Bondanello, Coazze, Trivellano"
Comuni confinanti,"Concordia sulla Secchia (MO), Gonzaga, Novi di Modena (MO), Pegognaga, Quistello, Reggiolo (RE), Rolo (RE), San Benedetto Po"
Altre informazioni,Altre informazioni
Cod. postale,46024
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020035
Cod. catastale,F267
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 388 GG[3]"
Nome abitanti,mogliesi
Patrono,san Giovanni Battista
Giorno festivo,29 agosto
Cartografia,Cartografia
Moglia,Moglia
Moglia – MappaPosizione del comune di Moglia nella provincia di Mantova,Moglia – MappaPosizione del comune di Moglia nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
