Canneto sull'Oglio comune,Canneto sull'Oglio comune.1
,
Canneto sull'Oglio – VedutaPiazza Matteotti con la Torre civica,Canneto sull'Oglio – VedutaPiazza Matteotti con la Torre civica
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Nicolò Ficicchia (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°09′N 10°23′E
Altitudine,34 m s.l.m.
Superficie,"25,87 km²"
Abitanti,4 444[1] (30-11-2025)
Densità,"171,78 ab./km²"
Frazioni,"Bizzolano, Runate, Carzaghetto"
Comuni confinanti,"Acquanegra sul Chiese, Asola, Calvatone (CR), Casalromano, Isola Dovarese (CR), Piadena Drizzona (CR)"
Altre informazioni,Altre informazioni
Cod. postale,46013
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020008
Cod. catastale,B612
Targa,MN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,cannetesi
Patrono,santi Fabiano e Sebastiano
Cartografia,Cartografia
Canneto sull'Oglio,Canneto sull'Oglio
Canneto sull'Oglio – MappaPosizione del comune di Canneto sull'Oglio nella provincia di Mantova,Canneto sull'Oglio – MappaPosizione del comune di Canneto sull'Oglio nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
