Ponti sul Mincio comune,Ponti sul Mincio comune.1
,
Ponti sul Mincio – VedutaPanorama,Ponti sul Mincio – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Mantova
Amministrazione,Amministrazione
Sindaco,Massimiliano Rossi (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,45°24′35.18″N 10°41′12.09″E
Altitudine,113 m s.l.m.
Superficie,"11,72 km²"
Abitanti,2 273[1] (30-11-2025)
Densità,"193,94 ab./km²"
Frazioni,"Dolci, Broglie"
Comuni confinanti,"Monzambano, Peschiera del Garda (VR), Pozzolengo (BS), Valeggio sul Mincio (VR)"
Altre informazioni,Altre informazioni
Cod. postale,46040
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,020044
Cod. catastale,G862
Targa,MN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 377 GG[3]"
Nome abitanti,pontiroli
Patrono,"sant'Antonio abate, san Gaetano"
Giorno festivo,"17 gennaio, 7 agosto"
Cartografia,Cartografia
Ponti sul Mincio,Ponti sul Mincio
Ponti sul Mincio – MappaPosizione del comune di Ponti sul Mincio nella provincia di Mantova,Ponti sul Mincio – MappaPosizione del comune di Ponti sul Mincio nella provincia di Mantova
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
