Valverde comune,Valverde comune.1
,
Valverde – VedutaSantuario di Maria Santissima di Valverde,Valverde – VedutaSantuario di Maria Santissima di Valverde
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,"Domenico Caggegi (lista civica ""Valverde nel cuore - Domenico Caggegi Sindaco”) dal 01-06-2023"
Territorio,Territorio
Coordinate,37°34′44.31″N 15°07′29.28″E
Altitudine,305 m s.l.m.
Superficie,"5,52 km²"
Abitanti,7 821[1] (30-11-2025)
Densità,"1 416,85 ab./km²"
Frazioni,"Carminello, Maugeri"
Comuni confinanti,"Aci Bonaccorsi, Aci Castello, Aci Catena, Aci Sant'Antonio, San Giovanni la Punta, San Gregorio di Catania"
Altre informazioni,Altre informazioni
Cod. postale,95028
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087052
Cod. catastale,L658
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 165 GG[3]"
Nome abitanti,valverdesi
Patrono,Madonna di Valverde
Cartografia,Cartografia
Valverde,Valverde
Valverde – MappaPosizione del comune di Valverde nella città metropolitana di Catania,Valverde – MappaPosizione del comune di Valverde nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
