Fiumefreddo di Sicilia comune,Fiumefreddo di Sicilia comune.1
,
Fiumefreddo di Sicilia – VedutaIl duomo di Fiumefreddo di Sicilia,Fiumefreddo di Sicilia – VedutaIl duomo di Fiumefreddo di Sicilia
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Angelo Torrisi (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,37°47′29.26″N 15°12′33.08″E
Altitudine,62 m s.l.m.
Superficie,"12,16 km²"
Abitanti,8 966[1] (30-11-2025)
Densità,"737,34 ab./km²"
Frazioni,"Borgo Valerio, Botteghelle, Castello, Civì, Diana, Feudogrande, Gona-Vignagrande, Liberto, Ponte Boria, Torrerossa"
Comuni confinanti,"Calatabiano, Mascali, Piedimonte Etneo"
Altre informazioni,Altre informazioni
Cod. postale,95013
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087016
Cod. catastale,D623
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 915 GG[3]"
Nome abitanti,fiumefreddesi (putiiddoti in siciliano)
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Fiumefreddo di Sicilia,Fiumefreddo di Sicilia
Fiumefreddo di Sicilia – MappaPosizione del comune di Fiumefreddo di Sicilia nella città metropolitana di Catania,Fiumefreddo di Sicilia – MappaPosizione del comune di Fiumefreddo di Sicilia nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
