Belpasso comune,Belpasso comune.1
,
Belpasso – Veduta,Belpasso – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Carlo Caputo (lista civica di centro-destra) dal 30-5-2023
Territorio,Territorio
Coordinate,37°35′10″N 14°58′38″E
Altitudine,551 m s.l.m.
Superficie,"166,33 km²"
Abitanti,28 336[1] (30-11-2025)
Densità,"170,36 ab./km²"
Frazioni,"Agglomerati: Acquarossa, Astrel, Frumenti, Giaconia, Le Ginestre, Palazzolo, Valcorrente, Villaggio del Pino. Piano Tavola"
Comuni confinanti,"Adrano[2], Biancavilla[2], Bronte[2], Camporotondo Etneo, Castiglione di Sicilia[2], Catania, Lentini (SR), Maletto[2], Mascalucia, Misterbianco[3], Motta Sant'Anastasia, Nicolosi, Paternò, Ragalna, Ramacca, Randazzo[2], San Pietro Clarenza, Sant'Alfio[2], Zafferana Etnea[2]"
Altre informazioni,Altre informazioni
Cod. postale,95032
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087007
Cod. catastale,A766
Targa,CT
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona D, 1 429 GG[5]"
Nome abitanti,belpassesi
Patrono,Santa Lucia
Giorno festivo,13 dicembre 1ª domenica di agosto
Soprannome,scacchiera dell’Etna
Cartografia,Cartografia
Belpasso,Belpasso
Belpasso – MappaPosizione del comune di Belpasso nella città metropolitana di Catania,Belpasso – MappaPosizione del comune di Belpasso nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
