Trecastagni comune,Trecastagni comune.1
,
Trecastagni – Veduta,Trecastagni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Giuseppe Messina (lista civica di centro-destra) dall'8-10-2020
Territorio,Territorio
Coordinate,37°36′58″N 15°04′44″E
Altitudine,586 m s.l.m.
Superficie,"19,16 km²"
Abitanti,11 395[1] (30-11-2025)
Densità,"594,73 ab./km²"
Comuni confinanti,"Pedara, San Giovanni la Punta, Viagrande, Zafferana Etnea"
Altre informazioni,Altre informazioni
Cod. postale,95039
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087050
Cod. catastale,L355
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 445 GG[3]"
Nome abitanti,trecastagnesi
Patrono,"San Nicola di Bari Patrono Principale, Alfio, Filadelfo e Cirino compatroni"
Giorno festivo,10 maggio
Soprannome,Belvedere dell’Etna
Cartografia,Cartografia
Trecastagni,Trecastagni
Trecastagni – MappaPosizione del comune di Trecastagni nella città metropolitana di Catania,Trecastagni – MappaPosizione del comune di Trecastagni nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
