Pedara comune,Pedara comune.1
,
Pedara – VedutaBasilica di Santa Caterina,Pedara – VedutaBasilica di Santa Caterina
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Alfio Cristaudo (lista civica di centro-sinistra) dal 5-10-2020
Territorio,Territorio
Coordinate,37°37′06″N 15°03′39″E
Altitudine,610 m s.l.m.
Superficie,"19,23 km²"
Abitanti,15 523[1] (30-11-2025)
Densità,"807,23 ab./km²"
Frazioni,Tarderia
Comuni confinanti,"Mascalucia, Nicolosi, San Giovanni la Punta, Trecastagni, Tremestieri Etneo, Zafferana Etnea"
Altre informazioni,Altre informazioni
Cod. postale,95053
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087034
Cod. catastale,G402
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 568 GG[3]"
Nome abitanti,pedaresi
Patrono,Maria Santissima Annunziata
Giorno festivo,seconda domenica di settembre
Cartografia,Cartografia
Pedara,Pedara
Pedara – MappaPosizione del comune di Pedara nella città metropolitana di Catania,Pedara – MappaPosizione del comune di Pedara nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
