Castel di Iudica comune,Castel di Iudica comune.1
,
Castel di Iudica – Veduta,Castel di Iudica – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Ruggero Agatino Strano (lista civica Libera Iudica) dal 10-6-2018
Territorio,Territorio
Coordinate,37°30′N 14°39′E
Altitudine,475 m s.l.m.
Superficie,"103,21 km²"
Abitanti,4 179[1] (30-11-2025)
Densità,"40,49 ab./km²"
Frazioni,"Borgo Franchetto, Carrubbo, Cinquegrana, Giumarra"
Comuni confinanti,"Agira (EN), Catenanuova (EN), Centuripe (EN), Paternò, Ramacca"
Altre informazioni,Altre informazioni
Cod. postale,95040
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087013
Cod. catastale,C091
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 349 GG[3]"
Nome abitanti,iudicensi
Patrono,Maria santissima delle Grazie
Giorno festivo,seconda domenica di agosto
Cartografia,Cartografia
Castel di Iudica,Castel di Iudica
Castel di Iudica – MappaPosizione del comune di Castel di Iudica nella città metropolitana di Catania,Castel di Iudica – MappaPosizione del comune di Castel di Iudica nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
