Viagrande comune,Viagrande comune.1
,
Viagrande – Veduta,Viagrande – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Salvatore Faro (lista civica) dal 30-5-2023
Territorio,Territorio
Coordinate,37°36′34″N 15°05′47″E
Altitudine,410 m s.l.m.
Superficie,"10,09 km²"
Abitanti,8 954[1] (30-11-2025)
Densità,"887,41 ab./km²"
Frazioni,"Blandano, Paternostro, Sanbuco"
Comuni confinanti,"Aci Bonaccorsi, Aci Sant'Antonio, San Giovanni la Punta, Trecastagni, Zafferana Etnea"
Altre informazioni,Altre informazioni
Cod. postale,95029
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087053
Cod. catastale,L828
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 260 GG[3]"
Nome abitanti,viagrandesi
Patrono,san Mauro abate
Giorno festivo,15 gennaio
Cartografia,Cartografia
Viagrande,Viagrande
Viagrande – MappaPosizione del comune di Viagrande nella città metropolitana di Catania,Viagrande – MappaPosizione del comune di Viagrande nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
