Motta Sant'Anastasia comune,Motta Sant'Anastasia comune.1
,
Motta Sant'Anastasia – Veduta,Motta Sant'Anastasia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Antonio Bellia (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,37°30′N 14°58′E
Altitudine,275 m s.l.m.
Superficie,"35,71 km²"
Abitanti,12 127[1] (30-11-2025)
Densità,"339,6 ab./km²"
Frazioni,"Piano Tavola, Sigonella"
Comuni confinanti,"Belpasso, Camporotondo Etneo, Catania, Misterbianco"
Altre informazioni,Altre informazioni
Cod. postale,95040
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087030
Cod. catastale,F781
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 143 GG[3]"
Nome abitanti,mottesi
Patrono,sant'Anastasia
Giorno festivo,25 agosto
Cartografia,Cartografia
Motta Sant'Anastasia,Motta Sant'Anastasia
Motta Sant'Anastasia – MappaPosizione del comune di Motta Sant'Anastasia nella città metropolitana di Catania,Motta Sant'Anastasia – MappaPosizione del comune di Motta Sant'Anastasia nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
