Gravina di Catania comune,Gravina di Catania comune.1
,
Gravina di Catania – VedutaIl parco comunale,Gravina di Catania – VedutaIl parco comunale
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Massimiliano Giammusso (lista civica di centro-destra) dal 13-6-2018 (2º mandato dal 28-5-2023)
Territorio,Territorio
Coordinate,37°33′37.29″N 15°03′42.41″E
Altitudine,355 m s.l.m.
Superficie,"5,15 km²"
Abitanti,25 341[1] (30-11-2025)
Densità,"4 920,58 ab./km²"
Frazioni,"Fasano, San Paolo"
Comuni confinanti,"Catania, Mascalucia, Sant'Agata li Battiati, Tremestieri Etneo"
Altre informazioni,Altre informazioni
Cod. postale,95030
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087019
Cod. catastale,E156
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 202 GG[3]"
Nome abitanti,gravinesi
Patrono,Sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Gravina di Catania,Gravina di Catania
Gravina di Catania – MappaPosizione del comune di Gravina di Catania nella città metropolitana di Catania,Gravina di Catania – MappaPosizione del comune di Gravina di Catania nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
