Mascalucia comune,Mascalucia comune.1
,
Mascalucia – VedutaPanorama dal Monte Mompileri,Mascalucia – VedutaPanorama dal Monte Mompileri
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Vincenzo Antonio Magra (FI) dal 14-6-2018 (2º mandato dal 29-5-2023)
Territorio,Territorio
Coordinate,37°34′25.2″N 15°03′06.34″E
Altitudine,420 m s.l.m.
Superficie,"16,28 km²"
Abitanti,32 127[1] (30-11-2025)
Densità,"1 973,4 ab./km²"
Frazioni,Massannunziata
Comuni confinanti,"Belpasso, Catania, Gravina di Catania, Nicolosi, Pedara, San Pietro Clarenza, Tremestieri Etneo"
Altre informazioni,Altre informazioni
Cod. postale,95030
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087024
Cod. catastale,F005
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 271 GG[3]"
Nome abitanti,mascaluciesi
Patrono,san Vito
Giorno festivo,15 giugno
Cartografia,Cartografia
Mascalucia,Mascalucia
Mascalucia – MappaPosizione del comune di Mascalucia nella città metropolitana di Catania,Mascalucia – MappaPosizione del comune di Mascalucia nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
