Raddusa comune,Raddusa comune.1
,
Raddusa – Veduta,Raddusa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Territorio,Territorio
Coordinate,37°28′N 14°32′E
Altitudine,350 m s.l.m.
Superficie,"23,39 km²"
Abitanti,2 750[1] (30-11-2025)
Densità,"117,57 ab./km²"
Comuni confinanti,"Aidone (EN), Assoro (EN), Piazza Armerina (EN), Ramacca"
Altre informazioni,Altre informazioni
Cod. postale,95040
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087036
Cod. catastale,H154
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 253 GG[3]"
Nome abitanti,Raddusani
Patrono,san Giuseppe
Giorno festivo,19 settembre
Cartografia,Cartografia
Raddusa,Raddusa
Raddusa – MappaPosizione del comune di Raddusa nella città metropolitana di Catania,Raddusa – MappaPosizione del comune di Raddusa nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
