Sant'Agata li Battiati comune,Sant'Agata li Battiati comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Marco Nunzio Rubino (DC) dal 14-6-2017
Territorio,Territorio
Coordinate,37°33′30″N 15°04′50″E
Altitudine,263 m s.l.m.
Superficie,"3,12 km²"
Abitanti,9 226[1] (30-11-2025)
Densità,"2 957,05 ab./km²"
Frazioni,Balatelle
Comuni confinanti,"Catania, Gravina di Catania, San Giovanni la Punta, Tremestieri Etneo"
Altre informazioni,Altre informazioni
Lingue,siciliano
Cod. postale,95056
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087045
Cod. catastale,I202
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 083 GG[3]"
Nome abitanti,battiatoti
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Sant'Agata li Battiati,Sant'Agata li Battiati
Sant'Agata li Battiati – MappaPosizione del comune di Sant'Agata li Battiati nella città metropolitana di Catania,Sant'Agata li Battiati – MappaPosizione del comune di Sant'Agata li Battiati nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
