San Pietro Clarenza comune,San Pietro Clarenza comune.1
,
San Pietro Clarenza – VedutaIngresso del centro abitato,San Pietro Clarenza – VedutaIngresso del centro abitato
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Vincenzo Santonocito (lista civica) dall'8-10-2020
Territorio,Territorio
Coordinate,37°34′08.8″N 15°01′23.52″E
Altitudine,463 m s.l.m.
Superficie,"6,27 km²"
Abitanti,8 354[1] (30-11-2025)
Densità,"1 332,38 ab./km²"
Comuni confinanti,"Belpasso, Camporotondo Etneo, Catania, Mascalucia, Misterbianco"
Altre informazioni,Altre informazioni
Cod. postale,95030 e 95055
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087044
Cod. catastale,I098
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 337 GG[3]"
Nome abitanti,clarentini
Patrono,santa Caterina
Giorno festivo,25 novembre
Cartografia,Cartografia
San Pietro Clarenza,San Pietro Clarenza
San Pietro Clarenza – MappaPosizione del comune di San Pietro Clarenza nella città metropolitana di Catania,San Pietro Clarenza – MappaPosizione del comune di San Pietro Clarenza nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
