Camporotondo Etneo comune,Camporotondo Etneo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Filippo Rapisarda (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,37°34′03.18″N 15°00′18.47″E
Altitudine,445 m s.l.m.
Superficie,"6,55 km²"
Abitanti,5 198[1] (30-11-2025)
Densità,"793,59 ab./km²"
Frazioni,"Piano Tavola, Villaggio Sant'Antonio"
Comuni confinanti,"Belpasso, Misterbianco, Motta Sant'Anastasia, San Pietro Clarenza"
Altre informazioni,Altre informazioni
Cod. postale,95040
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087012
Cod. catastale,B561
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 318 GG[3]"
Nome abitanti,camporotondesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Camporotondo Etneo,Camporotondo Etneo
Camporotondo Etneo – MappaPosizione del comune di Camporotondo Etneo nella città metropolitana di Catania,Camporotondo Etneo – MappaPosizione del comune di Camporotondo Etneo nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
