San Cono comune,San Cono comune.1
,
San Cono – Veduta,San Cono – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Cono Calaciura (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,37°17′23.71″N 14°22′01.52″E
Altitudine,525 m s.l.m.
Superficie,"6,63 km²"
Abitanti,2 362[1] (30-11-2025)
Densità,"356,26 ab./km²"
Comuni confinanti,"Mazzarino (CL), Piazza Armerina (EN), San Michele di Ganzaria"
Altre informazioni,Altre informazioni
Cod. postale,95040
Prefisso,0933
Fuso orario,UTC+1
Codice ISTAT,087040
Cod. catastale,H805
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 437 GG[3]"
Nome abitanti,sanconesi
Patrono,san Cono
Giorno festivo,seconda e terza domenica di maggio
Cartografia,Cartografia
San Cono,San Cono
San Cono – MappaPosizione del comune di San Cono nella città metropolitana di Catania,San Cono – MappaPosizione del comune di San Cono nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
