Adrano comune,Adrano comune.1
,
Adrano – VedutaVista di Adrano dal castello normanno con l'Etna sullo sfondo,Adrano – VedutaVista di Adrano dal castello normanno con l'Etna sullo sfondo
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Fabio Mancuso (lista civica) dal 30-10-2021
Territorio,Territorio
Coordinate,37°39′45″N 14°50′08″E
Altitudine,560 m s.l.m.
Superficie,"83,22 km²"
Abitanti,33 514[1] (30-11-2025)
Densità,"402,72 ab./km²"
Comuni confinanti,"Belpasso, Biancavilla, Bronte, Catenanuova, Centuripe (EN), Maletto, Regalbuto (EN), Sant'Alfio, Zafferana Etnea"
Altre informazioni,Altre informazioni
Cod. postale,95031
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087006
Cod. catastale,A056
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 438 GG[3]"
Nome abitanti,adraniti
Patrono,san Nicolò Politi
Giorno festivo,3 agosto
Cartografia,Cartografia
Adrano,Adrano
Adrano – MappaPosizione del comune di Adrano nella città metropolitana di Catania,Adrano – MappaPosizione del comune di Adrano nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
