Randazzo comune,Randazzo comune.1
,
Randazzo – Veduta,Randazzo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Commissario Straordinario (commissari straordinari) dal 30-1-2024
Territorio,Territorio
Coordinate,37°52′38.5″N 14°57′00.43″E
Altitudine,767 m s.l.m.
Superficie,"205,62 km²"
Abitanti,9 962[1] (30-11-2025)
Densità,"48,45 ab./km²"
Frazioni,"Flascio, Monte la Guardia, Murazzorotto"
Comuni confinanti,"Adrano, Belpasso, Biancavilla, Bronte, Castiglione di Sicilia, Centuripe (EN), Floresta (ME), Maletto, Regalbuto (EN), Roccella Valdemone (ME), Sant'Alfio, Santa Domenica Vittoria (ME), Tortorici (ME), Troina (EN), Zafferana Etnea"
Altre informazioni,Altre informazioni
Cod. postale,95036
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087038
Cod. catastale,H175
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 934 GG[3]"
Nome abitanti,randazzesi
Patrono,san Giuseppe[4]
Giorno festivo,19 marzo[4]
Cartografia,Cartografia
Randazzo,Randazzo
Randazzo – MappaPosizione del comune di Randazzo nella città metropolitana di Catania,Randazzo – MappaPosizione del comune di Randazzo nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
