Santa Venerina comune,Santa Venerina comune.1
,
Santa Venerina – Veduta,Santa Venerina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Santo Raciti (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,37°41′N 15°08′E
Altitudine,337 m s.l.m.
Superficie,"19,03 km²"
Abitanti,8 482[1] (30-11-2025)
Densità,"445,72 ab./km²"
Frazioni,"Bongiardo, Linera, Cosentini, Maria Vergine, Monacella, Dagala del Re"
Comuni confinanti,"Acireale, Giarre, Zafferana Etnea"
Altre informazioni,Altre informazioni
Cod. postale,95010
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087048
Cod. catastale,I314
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 094 GG[3]"
Nome abitanti,santavenerinesi
Patrono,santa Venera
Giorno festivo,26 luglio
Soprannome,"Città del vino, dei liquori, dei distillati e dei dolci"
Cartografia,Cartografia
Santa Venerina,Santa Venerina
Santa Venerina – MappaPosizione del comune di Santa Venerina nella città metropolitana di Catania,Santa Venerina – MappaPosizione del comune di Santa Venerina nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
