Maletto comune,Maletto comune.1
,
Maletto – Veduta,Maletto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Giuseppe Capizzi (lista civica) dal 1-6-2023
Territorio,Territorio
Coordinate,37°50′N 14°52′E
Altitudine,960 m s.l.m.
Superficie,"40,96 km²"
Abitanti,3 519[1] (30-11-2025)
Densità,"85,91 ab./km²"
Comuni confinanti,"Adrano, Belpasso, Biancavilla, Bronte, Castiglione di Sicilia, Randazzo, Sant'Alfio, Zafferana Etnea"
Altre informazioni,Altre informazioni
Cod. postale,95035
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087022
Cod. catastale,E854
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 268 GG[3]"
Nome abitanti,malettesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Maletto,Maletto
Maletto – MappaPosizione del comune di Maletto nella città metropolitana di Catania,Maletto – MappaPosizione del comune di Maletto nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
