Aci Castello comune,Aci Castello comune.1
(dettagli),(dettagli)
Aci Castello – VedutaPanorama di Piazza Castello e del centro storico castellese dal Castello Svevo-Normanno,Aci Castello – VedutaPanorama di Piazza Castello e del centro storico castellese dal Castello Svevo-Normanno
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Carmelo Camillo Scandurra (lista civica di centro-destra) dal 1-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,37°33′19″N 15°08′43″E
Altitudine,15 m s.l.m.
Superficie,"8,71 km²"
Abitanti,17 492[1] (30-11-2025)
Densità,"2 008,27 ab./km²"
Frazioni,"Aci Trezza, Cannizzaro, Ficarazzi"
Comuni confinanti,"Aci Catena, Acireale, Catania, San Gregorio di Catania, Valverde"
Altre informazioni,Altre informazioni
Cod. postale,95021
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087002
Cod. catastale,A026
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 784 GG[3]"
Nome abitanti,castellesi
Patrono,san Mauro
Giorno festivo,15 gennaio
Cartografia,Cartografia
Aci Castello,Aci Castello
Aci Castello – MappaPosizione del comune di Aci Castello nella città metropolitana di Catania,Aci Castello – MappaPosizione del comune di Aci Castello nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
