Aci Bonaccorsi comune,Aci Bonaccorsi comune.1
(dettagli),(dettagli)
Aci Bonaccorsi – VedutaChiesa Madre di Santa Maria dell'Indirizzo,Aci Bonaccorsi – VedutaChiesa Madre di Santa Maria dell'Indirizzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Vito Di Mauro (lista civica) dal 15-6-2017
Territorio,Territorio
Coordinate,37°35′43.87″N 15°06′34.25″E
Altitudine,365 m s.l.m.
Superficie,"1,72 km²"
Abitanti,3 556[1] (30-11-2025)
Densità,"2 067,44 ab./km²"
Comuni confinanti,"Aci Sant'Antonio, San Giovanni la Punta, Valverde, Viagrande"
Altre informazioni,Altre informazioni
Cod. postale,95020
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087001
Cod. catastale,A025
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 213 GG[3]"
Nome abitanti,bonaccorsesi
Patrono,santo Stefano
Giorno festivo,3 agosto
Soprannome,Svizzera etnea [4]
Cartografia,Cartografia
Aci Bonaccorsi,Aci Bonaccorsi
Aci Bonaccorsi – MappaPosizione del comune di Aci Bonaccorsi nella città metropolitana di Catania,Aci Bonaccorsi – MappaPosizione del comune di Aci Bonaccorsi nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
