Giarre comune,Giarre comune.1
,
"Giarre – VedutaVeduta aerea di Via Callipoli, della Chiesa Madre di Sant'Isidoro Agricola e di piazza Duomo","Giarre – VedutaVeduta aerea di Via Callipoli, della Chiesa Madre di Sant'Isidoro Agricola e di piazza Duomo"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Leonardo Cantarella (liste civiche di destra) dall'11-10-2021
Territorio,Territorio
Coordinate,37°43′35″N 15°11′15″E
Altitudine,81 m s.l.m.
Superficie,"27,32 km²"
Abitanti,26 464[1] (30-11-2025)
Densità,"968,67 ab./km²"
Frazioni,"Altarello, Carruba, Macchia, Miscarello, San Giovanni Montebello, San Leonardello, Santa Maria la Strada, Sciara, Trepunti"
Comuni confinanti,"Acireale, Mascali, Milo, Riposto, Sant'Alfio, Santa Venerina, Zafferana Etnea"
Altre informazioni,Altre informazioni
Cod. postale,95014
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087017
Cod. catastale,E017
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 935 GG[3]"
Nome abitanti,giarresi
Patrono,sant'Isidoro Agricola
Giorno festivo,15 maggio
Cartografia,Cartografia
Giarre,Giarre
Giarre – MappaPosizione del comune di Giarre nella città metropolitana di Catania,Giarre – MappaPosizione del comune di Giarre nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
