Palagonia comune,Palagonia comune.1
,
Palagonia – Veduta,Palagonia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Catania
Amministrazione,Amministrazione
Sindaco,Salvatore Astuti (centro-sinistra) dal 26-05-2025
Territorio,Territorio
Coordinate,37°20′N 14°45′E
Altitudine,200 m s.l.m.
Superficie,"57,79 km²"
Abitanti,15 387[1] (30-11-2025)
Densità,"266,26 ab./km²"
Comuni confinanti,"Lentini (SR), Militello, Mineo, Ramacca"
Altre informazioni,Altre informazioni
Cod. postale,95046
Prefisso,095
Fuso orario,UTC+1
Codice ISTAT,087032
Cod. catastale,G253
Targa,CT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 085 GG[3]"
Nome abitanti,palagonesi
Patrono,santa Febronia
Giorno festivo,25 giugno
Cartografia,Cartografia
Palagonia,Palagonia
Palagonia – MappaPosizione del comune di Palagonia nella città metropolitana di Catania,Palagonia – MappaPosizione del comune di Palagonia nella città metropolitana di Catania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
